profile1,profile2,profile3,profile4,profile5,profile6
"age: 35, body_type: average, education: nan, height: 70.0, job: nan, orientation: straight, pets: nan, religion: nan, sex: m, smokes: yes, speaks: english, status: single","age: 22, body_type: athletic, education: graduated from college/university, height: 70.0, job: sales / marketing / biz dev, orientation: straight, pets: likes dogs and likes cats, religion: agnosticism but not too serious about it, sex: m, smokes: no, speaks: english (fluently), spanish (okay), status: single","age: 47, body_type: curvy, education: graduated from college/university, height: 64.0, job: medicine / health, orientation: straight, pets: likes dogs and likes cats, religion: catholicism but not too serious about it, sex: f, smokes: no, speaks: english, status: single","age: 25, body_type: rather not say, education: nan, height: 72.0, job: nan, orientation: straight, pets: nan, religion: nan, sex: m, smokes: nan, speaks: english, status: single","age: 47, body_type: average, education: graduated from high school, height: 71.0, job: other, orientation: straight, pets: nan, religion: catholicism, sex: m, smokes: sometimes, speaks: english (fluently), english, status: single","age: 25, body_type: average, education: working on masters program, height: 66.0, job: student, orientation: straight, pets: nan, religion: catholicism, sex: f, smokes: nan, speaks: english, status: single"
"age: 29, body_type: average, education: graduated from college/university, height: 72.0, job: banking / financial / real estate, orientation: straight, pets: likes cats, religion: christianity and very serious about it, sex: m, smokes: no, speaks: english (fluently), sign language (poorly), status: seeing someone","age: 56, body_type: nan, education: graduated from college/university, height: 67.0, job: computer / hardware / software, orientation: straight, pets: dislikes dogs and has cats, religion: atheism and very serious about it, sex: f, smokes: no, speaks: english (fluently), german (poorly), status: single","age: 34, body_type: thin, education: graduated from masters program, height: 63.0, job: science / tech / engineering, orientation: straight, pets: nan, religion: hinduism but not too serious about it, sex: f, smokes: no, speaks: english (fluently), tamil (fluently), hindi (okay), other (okay), status: single","age: 64, body_type: curvy, education: masters program, height: 67.0, job: artistic / musical / writer, orientation: straight, pets: likes dogs and has cats, religion: buddhism, sex: f, smokes: no, speaks: english, english (fluently), spanish (okay), status: single","age: 28, body_type: average, education: graduated from college/university, height: 68.0, job: executive / management, orientation: straight, pets: nan, religion: agnosticism and laughing about it, sex: m, smokes: no, speaks: english (fluently), spanish (poorly), status: single","age: 44, body_type: curvy, education: graduated from college/university, height: 64.0, job: executive / management, orientation: bisexual, pets: has dogs and likes cats, religion: nan, sex: f, smokes: no, speaks: english, status: single"
"age: 24, body_type: nan, education: nan, height: 72.0, job: entertainment / media, orientation: straight, pets: nan, religion: other, sex: m, smokes: nan, speaks: english, status: single","age: 21, body_type: nan, education: nan, height: 62.0, job: nan, orientation: straight, pets: nan, religion: christianity, sex: f, smokes: when drinking, speaks: english, status: single","age: 24, body_type: average, education: graduated from college/university, height: 61.0, job: sales / marketing / biz dev, orientation: straight, pets: likes dogs, religion: nan, sex: f, smokes: no, speaks: english (fluently), status: single","age: 44, body_type: athletic, education: nan, height: 74.0, job: other, orientation: straight, pets: likes cats, religion: other, sex: m, smokes: no, speaks: english (fluently), spanish (okay), norwegian (poorly), german (poorly), status: single","age: 32, body_type: nan, education: graduated from high school, height: 72.0, job: sales / marketing / biz dev, orientation: straight, pets: likes dogs and likes cats, religion: nan, sex: m, smokes: yes, speaks: english, status: single","age: 56, body_type: full figured, education: graduated from masters program, height: 60.0, job: executive / management, orientation: straight, pets: likes dogs, religion: catholicism but not too serious about it, sex: f, smokes: no, speaks: english (fluently), spanish (fluently), status: single"
"age: 31, body_type: skinny, education: graduated from high school, height: 66.0, job: sales / marketing / biz dev, orientation: straight, pets: has dogs and likes cats, religion: christianity but not too serious about it, sex: f, smokes: no, speaks: english, status: single","age: 33, body_type: thin, education: graduated from masters program, height: 66.0, job: medicine / health, orientation: straight, pets: nan, religion: nan, sex: f, smokes: no, speaks: english (fluently), spanish (fluently), status: single","age: 29, body_type: athletic, education: graduated from college/university, height: 66.0, job: clerical / administrative, orientation: straight, pets: has dogs and likes cats, religion: catholicism and somewhat serious about it, sex: m, smokes: no, speaks: english (fluently), spanish (fluently), french (poorly), status: single","age: 29, body_type: average, education: graduated from college/university, height: 70.0, job: construction / craftsmanship, orientation: straight, pets: likes dogs and dislikes cats, religion: catholicism but not too serious about it, sex: m, smokes: no, speaks: english, status: single","age: 32, body_type: overweight, education: dropped out of two-year college, height: 70.0, job: other, orientation: bisexual, pets: likes dogs and has cats, religion: nan, sex: f, smokes: no, speaks: english (fluently), status: seeing someone","age: 40, body_type: skinny, education: two-year college, height: 72.0, job: hospitality / travel, orientation: straight, pets: nan, religion: catholicism but not too serious about it, sex: m, smokes: no, speaks: english (fluently), spanish (okay), status: single"
"age: 29, body_type: thin, education: working on college/university, height: 62.0, job: other, orientation: straight, pets: likes dogs and has cats, religion: catholicism, sex: f, smokes: no, speaks: english, status: single","age: 26, body_type: curvy, education: working on two-year college, height: 62.0, job: banking / financial / real estate, orientation: straight, pets: likes dogs and dislikes cats, religion: christianity, sex: f, smokes: no, speaks: english, spanish, status: single","age: 40, body_type: athletic, education: dropped out of masters program, height: 66.0, job: computer / hardware / software, orientation: straight, pets: nan, religion: other but not too serious about it, sex: f, smokes: no, speaks: english (fluently), french (okay), spanish (poorly), other (fluently), status: single","age: 19, body_type: average, education: working on college/university, height: 63.0, job: student, orientation: gay, pets: likes dogs and likes cats, religion: christianity but not too serious about it, sex: f, smokes: when drinking, speaks: english (fluently), spanish (okay), russian (poorly), status: single","age: 31, body_type: full figured, education: graduated from masters program, height: 64.0, job: artistic / musical / writer, orientation: straight, pets: likes dogs and likes cats, religion: christianity but not too serious about it, sex: f, smokes: no, speaks: english (fluently), italian (poorly), german (poorly), french (poorly), status: single","age: 30, body_type: fit, education: working on college/university, height: 68.0, job: other, orientation: gay, pets: has dogs, religion: christianity and laughing about it, sex: m, smokes: no, speaks: english (fluently), spanish (fluently), status: single"
"age: 39, body_type: fit, education: graduated from college/university, height: 65.0, job: medicine / health, orientation: straight, pets: likes dogs and has cats, religion: atheism and laughing about it, sex: f, smokes: no, speaks: english (fluently), spanish (okay), status: single","age: 21, body_type: curvy, education: graduated from college/university, height: 59.0, job: other, orientation: straight, pets: has dogs and likes cats, religion: nan, sex: f, smokes: no, speaks: english, status: single","age: 49, body_type: fit, education: graduated from college/university, height: 65.0, job: nan, orientation: straight, pets: likes dogs and likes cats, religion: christianity but not too serious about it, sex: f, smokes: no, speaks: english, status: single","age: 54, body_type: fit, education: graduated from masters program, height: 68.0, job: hospitality / travel, orientation: straight, pets: likes dogs and likes cats, religion: agnosticism but not too serious about it, sex: m, smokes: no, speaks: english (fluently), french (fluently), german (fluently), status: single","age: 24, body_type: average, education: nan, height: 64.0, job: nan, orientation: bisexual, pets: likes dogs and dislikes cats, religion: nan, sex: f, smokes: no, speaks: english, status: single","age: 41, body_type: nan, education: dropped out of college/university, height: 70.0, job: artistic / musical / writer, orientation: straight, pets: likes dogs and likes cats, religion: nan, sex: m, smokes: trying to quit, speaks: english (fluently), spanish (poorly), status: single"
"age: 34, body_type: fit, education: working on masters program, height: 70.0, job: entertainment / media, orientation: straight, pets: likes dogs and likes cats, religion: nan, sex: m, smokes: sometimes, speaks: english (fluently), c++ (fluently), german (poorly), french (poorly), status: single","age: 24, body_type: average, education: graduated from college/university, height: 63.0, job: nan, orientation: straight, pets: likes dogs and likes cats, religion: atheism and laughing about it, sex: f, smokes: no, speaks: english, status: single","age: 23, body_type: fit, education: graduated from college/university, height: 78.0, job: other, orientation: straight, pets: nan, religion: agnosticism, sex: m, smokes: no, speaks: english, status: single","age: 31, body_type: curvy, education: graduated from college/university, height: 64.0, job: science / tech / engineering, orientation: straight, pets: likes dogs and dislikes cats, religion: christianity but not too serious about it, sex: f, smokes: no, speaks: english (fluently), italian (poorly), sign language (okay), status: single","age: 25, body_type: thin, education: dropped out of space camp, height: 67.0, job: nan, orientation: straight, pets: likes dogs and has cats, religion: buddhism, sex: f, smokes: no, speaks: english (fluently), french (okay), hebrew (poorly), status: single","age: 26, body_type: fit, education: graduated from college/university, height: 69.0, job: political / government, orientation: gay, pets: nan, religion: nan, sex: m, smokes: no, speaks: english (fluently), french (poorly), spanish (poorly), status: single"
"age: 25, body_type: average, education: working on college/university, height: 64.0, job: banking / financial / real estate, orientation: straight, pets: nan, religion: nan, sex: f, smokes: no, speaks: english, status: single","age: 31, body_type: athletic, education: graduated from college/university, height: 72.0, job: sales / marketing / biz dev, orientation: straight, pets: has dogs and dislikes cats, religion: nan, sex: m, smokes: no, speaks: english (fluently), spanish (okay), french (poorly), status: married","age: 38, body_type: jacked, education: working on masters program, height: 71.0, job: hospitality / travel, orientation: straight, pets: has dogs, religion: other but not too serious about it, sex: m, smokes: when drinking, speaks: english (fluently), bengali, c++ (fluently), vietnamese (poorly), english (okay), status: single","age: 35, body_type: full figured, education: dropped out of space camp, height: 67.0, job: nan, orientation: straight, pets: nan, religion: nan, sex: f, smokes: no, speaks: english, status: single","age: 20, body_type: a little extra, education: working on two-year college, height: 70.0, job: student, orientation: straight, pets: has dogs, religion: christianity and very serious about it, sex: m, smokes: no, speaks: english, status: single","age: 50, body_type: full figured, education: two-year college, height: 64.0, job: law / legal services, orientation: straight, pets: has cats, religion: other and somewhat serious about it, sex: f, smokes: yes, speaks: english (fluently), status: single"
"age: 31, body_type: average, education: graduated from space camp, height: 71.0, job: medicine / health, orientation: straight, pets: likes dogs and likes cats, religion: christianity, sex: m, smokes: no, speaks: english (fluently), status: single","age: 22, body_type: used up, education: working on college/university, height: 68.0, job: student, orientation: straight, pets: has dogs and has cats, religion: christianity and laughing about it, sex: m, smokes: no, speaks: english (fluently), spanish (okay), status: single","age: 23, body_type: athletic, education: graduated from college/university, height: 68.0, job: banking / financial / real estate, orientation: straight, pets: nan, religion: nan, sex: m, smokes: no, speaks: english (fluently), spanish (okay), status: single","age: 30, body_type: nan, education: graduated from masters program, height: 66.0, job: science / tech / engineering, orientation: straight, pets: nan, religion: buddhism and somewhat serious about it, sex: m, smokes: no, speaks: english, thai, status: single","age: 37, body_type: thin, education: graduated from college/university, height: 68.0, job: sales / marketing / biz dev, orientation: straight, pets: likes dogs and dislikes cats, religion: agnosticism but not too serious about it, sex: f, smokes: no, speaks: english (fluently), french (poorly), status: single","age: 19, body_type: athletic, education: graduated from high school, height: 75.0, job: student, orientation: straight, pets: nan, religion: agnosticism but not too serious about it, sex: m, smokes: no, speaks: english, status: single"
"age: 32, body_type: athletic, education: graduated from masters program, height: 72.0, job: science / tech / engineering, orientation: straight, pets: likes dogs and likes cats, religion: catholicism but not too serious about it, sex: m, smokes: no, speaks: english (fluently), status: single","age: 35, body_type: athletic, education: graduated from college/university, height: 74.0, job: computer / hardware / software, orientation: straight, pets: nan, religion: nan, sex: m, smokes: no, speaks: english (fluently), status: single","age: 39, body_type: fit, education: graduated from ph.d program, height: 70.0, job: computer / hardware / software, orientation: straight, pets: likes dogs and has cats, religion: christianity, sex: m, smokes: no, speaks: english, status: single","age: 21, body_type: jacked, education: working on two-year college, height: 69.0, job: student, orientation: straight, pets: likes dogs and dislikes cats, religion: nan, sex: m, smokes: no, speaks: english (okay), french (okay), spanish (poorly), status: single","age: 31, body_type: athletic, education: graduated from college/university, height: 67.0, job: computer / hardware / software, orientation: straight, pets: nan, religion: nan, sex: m, smokes: no, speaks: english, status: single","age: 23, body_type: nan, education: nan, height: 63.0, job: nan, orientation: straight, pets: has dogs, religion: catholicism and somewhat serious about it, sex: f, smokes: yes, speaks: english, status: single"
"age: 27, body_type: average, education: graduated from college/university, height: 67.0, job: sales / marketing / biz dev, orientation: straight, pets: likes dogs and dislikes cats, religion: catholicism, sex: f, smokes: no, speaks: english (fluently), status: single","age: 40, body_type: athletic, education: working on ph.d program, height: 71.0, job: other, orientation: straight, pets: nan, religion: other and laughing about it, sex: m, smokes: no, speaks: english (fluently), spanish (okay), french (poorly), c++ (poorly), status: single","age: 30, body_type: fit, education: nan, height: 68.0, job: nan, orientation: straight, pets: nan, religion: nan, sex: m, smokes: nan, speaks: english, status: single","age: 34, body_type: fit, education: graduated from masters program, height: 63.0, job: science / tech / engineering, orientation: straight, pets: nan, religion: catholicism, sex: f, smokes: no, speaks: english (fluently), spanish (fluently), french (okay), sign language (poorly), japanese (poorly), status: single","age: 27, body_type: average, education: working on college/university, height: 75.0, job: executive / management, orientation: gay, pets: has dogs, religion: agnosticism and laughing about it, sex: m, smokes: no, speaks: english, status: single","age: 24, body_type: a little extra, education: working on two-year college, height: 71.0, job: student, orientation: straight, pets: has dogs and has cats, religion: agnosticism and laughing about it, sex: m, smokes: no, speaks: english (fluently), status: single"
"age: 21, body_type: athletic, education: working on college/university, height: 67.0, job: student, orientation: straight, pets: likes dogs and likes cats, religion: catholicism and somewhat serious about it, sex: f, smokes: no, speaks: english (fluently), spanish (fluently), italian (okay), status: single","age: 46, body_type: fit, education: graduated from high school, height: 74.0, job: artistic / musical / writer, orientation: straight, pets: likes dogs and dislikes cats, religion: other, sex: m, smokes: no, speaks: english, status: single","age: 27, body_type: nan, education: graduated from masters program, height: 64.0, job: medicine / health, orientation: straight, pets: nan, religion: catholicism, sex: f, smokes: no, speaks: english (fluently), spanish (fluently), italian (okay), status: single","age: 42, body_type: average, education: two-year college, height: 69.0, job: transportation, orientation: straight, pets: nan, religion: catholicism but not too serious about it, sex: m, smokes: sometimes, speaks: english (fluently), spanish (fluently), status: single","age: 28, body_type: average, education: nan, height: 69.0, job: nan, orientation: gay, pets: nan, religion: nan, sex: m, smokes: no, speaks: english (fluently), spanish (okay), german (poorly), status: single","age: 30, body_type: fit, education: graduated from college/university, height: 69.0, job: banking / financial / real estate, orientation: straight, pets: likes dogs, religion: other and somewhat serious about it, sex: m, smokes: no, speaks: english (fluently), chinese (okay), status: single"
"age: 29, body_type: fit, education: graduated from college/university, height: 69.0, job: executive / management, orientation: straight, pets: likes dogs and likes cats, religion: agnosticism and somewhat serious about it, sex: m, smokes: no, speaks: english, spanish (poorly), status: single","age: 23, body_type: curvy, education: graduated from college/university, height: 62.0, job: education / academia, orientation: straight, pets: likes dogs, religion: nan, sex: f, smokes: nan, speaks: english, spanish (okay), status: single","age: 22, body_type: curvy, education: working on college/university, height: 66.0, job: artistic / musical / writer, orientation: straight, pets: likes dogs and dislikes cats, religion: judaism and laughing about it, sex: f, smokes: no, speaks: english (fluently), russian (fluently), french (okay), c++ (fluently), czech (poorly), status: seeing someone","age: 41, body_type: fit, education: dropped out of college/university, height: 75.0, job: executive / management, orientation: straight, pets: likes dogs and likes cats, religion: atheism, sex: m, smokes: no, speaks: english, status: single","age: 35, body_type: fit, education: graduated from masters program, height: 73.0, job: computer / hardware / software, orientation: straight, pets: likes dogs and has cats, religion: agnosticism, sex: m, smokes: no, speaks: english (fluently), status: single","age: 24, body_type: skinny, education: working on space camp, height: 71.0, job: computer / hardware / software, orientation: gay, pets: likes dogs and likes cats, religion: nan, sex: m, smokes: yes, speaks: english (poorly), status: single"
"age: 30, body_type: thin, education: graduated from college/university, height: 71.0, job: education / academia, orientation: straight, pets: likes dogs and likes cats, religion: atheism and laughing about it, sex: m, smokes: no, speaks: english, status: single","age: 37, body_type: fit, education: graduated from masters program, height: 69.0, job: executive / management, orientation: straight, pets: nan, religion: christianity, sex: m, smokes: no, speaks: english, spanish (okay), italian (poorly), status: single","age: 29, body_type: average, education: graduated from masters program, height: 73.0, job: computer / hardware / software, orientation: straight, pets: likes dogs, religion: catholicism but not too serious about it, sex: m, smokes: no, speaks: english (fluently), spanish (fluently), swahili (poorly), status: single","age: 30, body_type: jacked, education: graduated from college/university, height: 69.0, job: computer / hardware / software, orientation: straight, pets: likes cats, religion: atheism, sex: m, smokes: no, speaks: english (fluently), spanish (okay), italian (poorly), status: single","age: 33, body_type: athletic, education: graduated from college/university, height: 70.0, job: computer / hardware / software, orientation: straight, pets: nan, religion: nan, sex: m, smokes: no, speaks: english, status: single","age: 28, body_type: athletic, education: graduated from college/university, height: 66.0, job: computer / hardware / software, orientation: straight, pets: nan, religion: nan, sex: m, smokes: no, speaks: english (fluently), chinese (okay), status: single"
